name,code
台積電,2330.TW
聯發科,2454.TW
鴻海,2317.TW
台達電,2308.TW
富邦金,2881.TW
中信金,2891.TW
廣達,2382.TW
國泰金,2882.TW
聯電,2303.TW
中華電,2412.TW
兆豐金,2886.TW
日月光投控,3711.TW
玉山金,2884.TW
華碩,2357.TW
統一,1216.TW
元大金,2885.TW
聯詠,3034.TW
智邦,2345.TW
第一金,2892.TW
凱基金,2883.TW
永豐金,2890.TW
緯創,3231.TW
中鋼,2002.TW
華南金,2880.TW
瑞昱,2379.TW
合庫金,5880.TW
長榮,2603.TW
國巨,2327.TW
大立光,3008.TW
台泥,1101.TW
世芯-KY,3661.TW
台新金,2887.TW
和泰車,2207.TW
光寶科,2301.TW
和碩,4938.TW
中租-KY,5871.TW
台灣大,3045.TW
研華,2395.TW
緯穎,6669.TW
上海商銀,5876.TW
遠傳,4904.TW
南亞,1303.TW
奇鋐,3017.TW
台塑,1301.TW
陽明,2609.TW
統一超,2912.TW
藥華藥,6446.TW
欣興,3037.TW
萬海,2615.TW
台塑化,6505.TW
